#{"t_start": 1733274618.171013, "env_id": "BipedalWalker-v3"}
r,l,t
-43.97089,356,185.346178
284.758317,1274,185.616241
-67.320544,205,185.659095
281.77042,1357,185.929032
283.607236,1222,190.647519
272.379051,1429,190.973379
280.991347,1267,191.380818
-62.853073,260,191.43588
280.168422,1317,191.812898
14.661132,534,197.623547
285.910885,1188,197.942679
287.12761,1191,198.261226
-35.142868,468,198.383422
283.707648,1240,198.716941
283.370804,1232,204.971332
70.239644,894,205.197238
26.247217,634,205.353141
-30.681926,340,205.441007
-8.933268,418,205.54826
137.20303,1108,211.160519
280.697075,1245,211.465051
284.758394,1172,211.757707
279.957684,1252,212.069321
283.641082,1200,212.366686
279.550321,1326,218.131566
285.014832,1255,218.447426
283.234785,1282,218.786377
-69.85532,187,218.846233
50.628784,745,219.024083
282.31421,1323,224.804508
281.261392,1319,225.182108
-91.961637,120,225.222617
-88.715731,122,225.257322
-94.856566,120,225.287547
274.968001,1482,231.116121
280.434071,1421,231.470452
281.237413,1374,231.826632
280.528242,1409,232.189519
279.312006,1445,232.553789
287.278842,1240,238.125767
291.661552,1179,238.420109
287.523056,1270,238.760061
289.659841,1197,239.095469
-66.783889,186,239.145559
291.762669,1188,244.208371
290.662545,1171,244.508719
-7.710065,484,244.635647
287.416264,1260,244.962726
40.372633,651,245.131435
149.419802,1029,250.840239
-27.796508,354,250.932844
294.601233,1148,251.232125
-82.615898,153,251.27254
289.817735,1207,251.613035
289.201463,1239,257.443807
291.215107,1185,257.755307
287.52364,1264,258.092058
292.009028,1182,258.426808
291.200152,1202,258.757569
294.212565,1126,264.748297
294.404363,1106,265.063051
292.380418,1130,265.393046
295.218176,1088,265.701659
289.475705,1185,266.040153
293.40544,1111,272.39141
117.903405,848,272.645944
295.666816,1066,272.96851
72.048931,678,273.175464
291.29041,1144,273.541764
9.363705,541,279.922201
35.827523,579,280.098755
35.423543,569,280.276038
8.885127,477,280.424413
293.551835,1085,280.874059
292.91721,1137,287.686366
130.106898,964,288.001869
294.165631,1106,288.370774
-2.061253,458,288.525898
129.749146,949,288.852051
289.570212,1160,296.143207
160.585401,1151,296.54865
291.85204,1130,296.953451
291.155332,1150,297.374436
129.737892,961,297.705404
138.266565,1131,304.681529
95.976815,877,304.99484
292.623226,1160,305.428459
290.741043,1168,305.873586
285.020779,1280,306.345285
-104.859419,95,314.450713
286.203427,1286,314.973214
153.33984,1065,315.4074
287.722761,1228,316.009546
286.827091,1258,316.570192
-115.331658,137,325.229597
-115.871093,135,325.28093
-119.723965,182,325.349775
-101.610988,132,325.401346
-106.316845,97,325.437957
288.472011,1191,333.660887
291.901463,1120,334.083398
290.056115,1160,334.536755
153.717882,1046,334.923313
166.67259,1005,335.311067
63.464114,653,343.264075
290.705235,1102,343.715187
284.424293,1177,344.201108
287.448423,1138,344.655252
291.085783,1096,345.069469
287.737782,1125,353.069663
287.842965,1098,353.469586
290.864128,1099,353.876954
290.187393,1090,354.296317
288.293863,1115,354.722107
280.096876,1198,363.521686
292.38434,1056,363.946464
284.798658,1132,364.388964
283.510073,1172,364.859008
282.467536,1162,365.346247
284.387639,1132,373.598555
283.32702,1157,374.047362
285.252151,1116,374.480783
281.919796,1181,374.913442
287.928982,1076,375.303238
284.1663,1162,383.75559
287.679993,1109,384.317448
287.892533,1085,384.81468
281.913935,1188,385.497329
284.048058,1157,385.976299
290.951325,1021,393.645642
287.029468,1076,394.068967
290.909566,1026,394.499045
288.978682,1048,394.904866
286.385316,1081,395.293978
287.76346,1047,404.015098
283.326263,1103,404.485942
287.545971,1054,404.886505
289.824371,1034,405.288164
285.674551,1075,405.683962
289.081268,1037,413.74246
285.930853,1056,414.125293
289.148011,1015,414.483145
291.134696,998,414.883879
291.100097,1004,415.240616
285.925967,1063,422.681663
287.987765,1038,423.075019
286.992937,1041,423.459654
290.076775,1028,423.815164
-9.191229,392,423.950501
288.352969,1035,431.250393
288.226158,1027,431.598885
287.501044,1026,431.971811
287.955501,1030,432.351337
289.670285,1000,432.709377
289.07717,1016,440.396137
287.262169,1043,440.778867
287.549817,1070,441.162477
177.419448,1092,441.564216
285.697998,1084,442.209544
-16.298758,443,450.478612
284.23471,1130,450.928309
105.452858,831,451.26872
-30.387903,357,451.392157
289.416,1024,451.769513
289.760617,1036,460.743908
286.470612,1044,461.253403
286.750776,1055,461.894787
289.005745,1024,462.272798
288.546085,1025,462.775343
290.700422,1025,472.274715
286.003461,1063,472.75316
289.200896,1043,473.1787
284.61262,1093,473.640681
-85.807134,140,473.701601
280.405459,1198,482.350855
-90.745162,142,482.40513
44.312449,601,482.695516
289.34945,1076,483.11897
-86.448007,130,483.170398
288.383276,1107,492.095432
42.444022,593,492.322959
277.602996,1260,492.829003
290.030929,1056,493.212369
138.95049,884,493.535186
289.297232,1099,501.127552
139.200654,1023,501.540159
280.697413,1225,502.187905
-105.026597,167,502.272485
-102.736665,164,502.402388
284.057084,1156,510.883924
279.862394,1225,511.344517
283.739133,1186,511.809801
289.817756,1081,512.236817
283.103322,1182,512.679564
287.630473,1075,520.828445
285.962407,1090,521.234993
-81.106318,145,521.288548
287.352883,1094,521.701054
288.316884,1060,522.170162
289.165934,1065,530.569393
284.099794,1104,531.128611
291.014348,1026,531.492621
289.67414,1021,531.897081
-46.661916,231,531.991438
292.142868,972,540.790851
291.540191,987,541.240626
288.374576,1020,541.682231
41.314397,570,541.915774
288.255936,1023,542.448323
290.683126,998,551.836147
287.724567,1053,552.256865
284.702881,1094,552.775248
291.407958,1012,553.1738
122.819175,880,553.582149
291.531503,1009,561.985819
288.42816,1035,563.026382
291.52102,1008,563.879603
292.291107,1005,564.838111
-58.353487,189,564.981271
290.63723,1020,576.407737
294.644028,967,576.805466
294.963294,965,577.197992
293.636223,980,577.644491
290.671114,1014,578.049847
293.549224,973,586.270368
285.870022,1085,586.711369
292.478696,996,587.091216
290.260519,1010,587.48329
293.077918,986,587.894186
294.293271,964,596.879237
286.61957,1056,597.297867
293.848125,950,597.763366
291.331498,969,598.20726
291.398215,981,598.613761
289.716656,985,607.102427
290.467242,976,607.493643
291.998096,954,607.866394
291.519986,974,608.230138
289.843241,982,608.599947
292.719546,940,617.034177
290.258563,995,617.468957
290.85132,1002,617.875228
288.163649,1016,618.256698
289.868818,989,618.679751
291.320546,973,628.391157
292.512549,954,628.802327
290.310694,985,629.221075
295.744088,943,629.599032
290.150011,964,629.995979
-25.852449,360,638.620083
294.703877,941,639.137229
295.710774,932,639.683773
295.220402,945,640.171944
298.122781,907,640.64518
298.266984,914,649.388549
294.605036,950,649.80744
297.882377,916,650.152924
294.869492,944,650.506121
293.757437,964,650.856473
296.552467,959,658.758816
294.683803,987,659.144555
295.936553,966,659.548978
296.011551,990,659.921427
299.189244,942,660.372181
294.807905,972,668.813677
293.574329,974,669.184998
293.681677,1006,669.570161
292.747824,991,669.937966
291.939739,998,670.29755
293.031064,983,678.128052
290.919697,991,678.473198
293.204882,966,678.811961
293.829364,976,679.15294
293.907221,967,679.513017
292.058894,993,687.036865
291.359748,986,687.371724
294.194763,963,687.731565
291.812034,972,688.067028
289.984879,979,688.405789
295.448943,932,695.836814
292.112332,966,696.173671
294.165588,953,696.560551
293.130696,955,696.900586
294.351221,952,697.249115
297.425652,898,704.596721
295.181013,921,704.916615
294.107748,920,705.252272
296.251318,906,705.592559
294.84094,935,705.910227
295.381176,910,713.9685
294.302052,919,714.303659
294.281243,915,714.631915
294.769252,920,714.948524
295.040386,899,715.256742
294.304367,912,725.276652
291.884966,919,725.636533
293.570818,904,726.103309
292.969162,929,726.986973
292.930946,898,727.82933
290.107396,928,739.082298
290.794595,925,739.484813
288.101668,947,739.904551
167.263166,928,740.285974
289.992352,929,740.664582
290.602163,932,750.025197
294.827466,900,750.38141
291.672587,920,750.78461
290.298882,912,751.195906
290.969077,912,751.562631
285.105061,972,759.81832
286.50793,979,760.206381
286.494336,968,760.61654
288.74061,933,760.967251
287.868159,959,761.33152
285.942432,963,770.710406
288.133275,936,771.287799
284.829918,980,772.08056
288.642887,929,772.735711
288.021999,936,773.186553
287.55341,961,781.761024
290.474123,923,782.165888
290.34141,922,782.536245
287.297012,961,782.918298
288.111758,951,783.351132
136.275821,843,791.175816
289.356632,968,791.524778
291.133323,943,791.863639
-50.245903,184,791.933057
291.651954,936,792.287225
285.618537,1010,801.491194
286.601706,976,802.023033
286.382158,977,802.89225
289.182174,969,803.505889
283.646356,1029,804.17854
-21.674508,264,812.467387
295.326463,878,812.839293
288.798871,947,813.203939
292.139185,907,813.539425
288.816492,947,813.883976
293.666223,885,821.233085
287.80209,967,821.632456
291.916137,901,821.990905
288.540262,942,822.367443
293.548054,889,822.770756
289.364898,924,831.287924
288.229419,946,831.661544
287.009833,957,832.006338
290.110944,926,832.337624
289.183949,936,832.676622
293.303452,872,840.489794
291.478262,895,840.835363
292.654323,886,841.15541
