#{"t_start": 1736958512.554267, "env_id": "None"}
r,l,t
-40.014327,36,243.805337
-17.744378,13,244.272239
-31.981052,22,245.038986
-17.293551,20,245.739229
-44.527895,32,246.855693
-25.660878,19,247.528623
-21.003665,31,248.589218
-40.634397,36,249.828545
-27.840867,28,251.189239
-44.628249,29,252.189142
-26.518009,22,252.955559
-37.592401,24,253.789853
-26.561396,21,254.526411
-23.958504,19,255.189339
-23.636645,25,256.055348
-112.264663,85,258.922864
-24.539291,20,259.655893
-33.134875,19,260.356257
-18.743658,22,261.122719
-81.121923,84,263.95563
-71.930563,70,266.322272
-41.213755,29,267.32242
-22.589776,22,268.091895
-26.057254,21,268.822691
-23.476214,29,269.822643
-34.668663,28,270.79218
-42.046748,29,271.80619
-11.964769,16,272.375386
-14.563635,19,273.039192
-60.136561,58,275.022455
-32.218248,24,275.855956
-27.732767,20,276.556086
-26.201792,18,277.19268
-23.617859,31,278.275551
-29.938871,19,278.939468
-20.605718,24,279.773281
-36.214086,25,280.639443
-43.782816,30,281.674114
-30.130606,20,282.37385
-76.350567,63,284.505888
-71.711126,56,286.422741
-17.801838,19,287.089563
-22.88904,20,287.789411
-33.915282,34,288.957541
-20.074454,18,289.589436
-17.487576,37,290.876122
-26.752401,22,291.655851
-67.655779,61,293.722886
-9.776172,25,294.605238
-12.425176,29,295.607304
-27.740821,31,296.690588
-22.031582,18,297.322767
-20.29209,24,298.159279
-36.553851,30,299.189389
-19.762612,21,299.922842
-23.467676,14,300.422963
-74.915029,65,302.661043
-22.808561,17,303.260294
-35.452614,34,304.422756
-23.306544,29,305.473936
-53.162877,51,307.222871
-15.287801,11,307.639518
-52.15013,34,308.806315
-23.928214,26,309.706195
-15.667223,16,310.272854
-11.439278,16,310.840812
-68.437169,56,312.756469
-27.464005,38,318.324206
-42.973582,41,319.325285
-66.328152,64,320.623854
-26.608543,33,321.302135
-33.487725,21,321.744058
-21.107473,27,322.304298
-38.158039,27,322.8666
-19.796017,18,323.567209
-29.118403,28,324.146147
-73.978692,60,325.364419
-15.407416,19,325.67628
-14.760358,14,325.695905
-15.958409,20,325.726924
-21.610921,19,325.758757
-24.569008,36,325.824271
-12.223341,21,325.864604
-23.2307,23,325.898253
-35.651195,27,325.935492
-27.185291,20,325.960916
-62.953718,46,326.013142
-34.345422,36,326.064191
-37.757599,23,326.093734
-58.125395,62,326.186635
-31.64572,29,326.227901
-26.257784,24,326.261952
-33.252949,43,326.320898
-42.163253,38,326.366086
-110.863012,82,326.480772
-59.386495,51,326.596749
-25.516414,37,326.656693
-26.531644,18,326.678793
-22.176143,14,326.695925
-27.296294,16,326.718834
-48.23337,35,326.767985
-40.671021,25,326.801227
-19.749338,14,326.821359
-28.038916,24,326.856364
-34.306258,29,326.898393
-29.078588,18,326.921847
-20.135838,18,326.943247
-31.548085,22,326.972565
-83.702909,69,327.066265
-24.638611,15,327.082788
-13.489912,27,327.114686
-15.698937,17,327.136145
-70.824781,62,327.202252
-31.806624,23,327.232688
-41.298668,51,327.31618
-22.779475,17,327.33976
-16.039384,20,327.365726
-34.368818,23,327.395304
-45.892424,47,327.454175
-30.083497,25,327.489566
-52.104491,43,327.548611
-29.164298,16,327.570787
-28.095445,27,327.6127
-18.39764,14,327.631153
-11.017181,18,327.653659
-38.211734,30,327.695575
-24.820619,13,327.711875
-23.243888,17,327.733378
-37.682365,43,327.788541
-30.32286,23,327.819109
-29.803967,19,327.846761
-52.29267,39,327.895458
-49.419019,37,327.941827
-17.882911,19,327.967285
-33.07494,37,328.018284
-36.578599,24,328.050539
-48.512368,46,328.125283
-23.606542,29,328.169076
-29.900298,28,328.220259
-86.11939,60,328.306173
-17.170998,17,328.325815
-27.487713,23,328.36544
-77.60957,58,328.759235
-29.468182,19,328.786689
-22.816444,18,328.812215
-47.836062,43,328.88036
-19.274428,21,328.908149
-45.322761,32,328.948283
-55.382943,54,329.029749
